,Usia,Gender,Gaji,Jumlah Anak
155,32,P,1-3jt,0
156,29,P,1-3jt,6
157,43,L,3-5jt,3
158,27,L,3-5jt,6
159,50,L,5-10jt,6
160,54,L,3-5jt,1
161,55,L,1-3jt,0
162,26,P,1-3jt,2
163,35,L,5-10jt,0
164,40,P,5-10jt,6
165,33,L,3-5jt,3
166,33,P,1-3jt,0
167,26,L,1-3jt,1
168,23,L,5-10jt,3
169,44,P,3-5jt,0
170,54,P,5-10jt,4
171,53,L,1-3jt,6
172,34,L,1-3jt,1
173,43,L,1-3jt,6
174,37,P,1-3jt,6
175,36,P,5-10jt,2
176,60,L,3-5jt,0
177,35,P,1-3jt,3
178,49,P,1-3jt,2
179,50,P,3-5jt,5
180,54,L,1-3jt,6
181,26,P,1-3jt,1
182,18,L,3-5jt,2
183,49,L,5-10jt,1
184,57,P,1-3jt,6
185,38,L,5-10jt,5
186,44,P,1-3jt,2
187,43,P,3-5jt,5
188,17,P,5-10jt,6
189,56,L,5-10jt,0
190,54,L,1-3jt,4
191,39,L,3-5jt,4
192,48,L,3-5jt,1
193,52,L,5-10jt,1
194,51,P,3-5jt,5
195,42,L,3-5jt,0
196,55,L,5-10jt,5
197,24,P,1-3jt,5
198,54,L,3-5jt,2
199,43,P,3-5jt,5
200,23,P,3-5jt,3
201,42,P,1-3jt,6
202,48,L,1-3jt,2
203,42,P,5-10jt,5
204,28,L,1-3jt,5
205,53,L,3-5jt,0
206,31,L,3-5jt,4
207,52,P,5-10jt,6
208,59,P,3-5jt,1
209,18,P,3-5jt,5
210,56,P,1-3jt,0
211,21,P,5-10jt,2
212,40,L,3-5jt,1
213,50,L,3-5jt,4
214,51,L,1-3jt,0
215,55,P,5-10jt,3
216,39,L,3-5jt,1
217,21,P,5-10jt,0
218,19,L,1-3jt,4
219,22,L,3-5jt,1
220,24,P,3-5jt,0
221,26,P,3-5jt,1
222,36,L,3-5jt,2
223,41,P,3-5jt,6
224,40,L,1-3jt,1
225,44,L,5-10jt,6
226,23,P,1-3jt,4
227,52,P,3-5jt,1
228,24,L,1-3jt,1
229,20,P,3-5jt,2
230,49,P,3-5jt,3
231,36,P,3-5jt,0
232,56,L,5-10jt,1
233,50,P,1-3jt,6
234,37,L,1-3jt,6
235,25,P,3-5jt,3
236,17,L,1-3jt,3
237,55,P,3-5jt,5
238,37,P,1-3jt,6
239,51,P,3-5jt,6
240,24,L,5-10jt,6
241,21,L,3-5jt,6
242,40,P,1-3jt,6
243,50,L,5-10jt,1
244,26,L,5-10jt,2
245,23,L,3-5jt,3
246,38,P,5-10jt,2
247,47,L,3-5jt,2
248,47,P,5-10jt,4
249,37,L,1-3jt,2
250,38,L,1-3jt,3
251,36,L,5-10jt,3
252,17,P,3-5jt,5
253,53,P,1-3jt,2
254,17,P,3-5jt,6
255,20,L,5-10jt,3
256,21,P,1-3jt,0
257,60,L,3-5jt,3
258,24,L,3-5jt,2
259,18,P,3-5jt,0
260,48,L,5-10jt,0
261,22,P,5-10jt,2
262,39,P,3-5jt,2
263,51,L,3-5jt,1
264,37,L,1-3jt,4
265,19,P,1-3jt,2
266,21,L,1-3jt,4
267,48,P,3-5jt,0
268,58,P,1-3jt,6
269,58,L,1-3jt,5
270,48,P,3-5jt,1
271,59,P,1-3jt,0
272,46,P,5-10jt,5
273,32,L,3-5jt,6
274,50,P,5-10jt,2
275,50,P,3-5jt,2
276,24,P,1-3jt,1
277,57,P,1-3jt,2
278,37,L,3-5jt,5
279,27,P,1-3jt,3
280,22,P,1-3jt,6
281,34,L,5-10jt,5
282,26,P,5-10jt,1
283,38,P,1-3jt,0
284,35,P,3-5jt,3
285,21,L,3-5jt,4
286,36,L,3-5jt,4
287,29,P,3-5jt,4
288,31,L,5-10jt,1
289,19,P,1-3jt,0
290,47,L,3-5jt,6
291,49,P,5-10jt,4
292,50,P,5-10jt,1
293,38,P,3-5jt,5
294,32,P,5-10jt,0
295,59,P,3-5jt,4
296,24,P,3-5jt,2
297,36,L,1-3jt,2
298,51,L,5-10jt,3
299,58,L,3-5jt,3
300,35,P,5-10jt,5
301,49,P,1-3jt,1
302,34,P,1-3jt,1
303,51,L,5-10jt,5
304,60,P,3-5jt,0
305,23,P,1-3jt,3
306,38,P,1-3jt,1
307,22,L,1-3jt,0
308,22,P,1-3jt,3
309,59,P,5-10jt,3
310,44,L,1-3jt,0
311,28,L,5-10jt,0
312,60,L,3-5jt,5
313,22,P,5-10jt,5
314,48,P,3-5jt,4
315,46,L,3-5jt,4
316,49,P,3-5jt,0
317,57,P,3-5jt,0
318,17,P,3-5jt,5
319,19,P,1-3jt,3
320,55,P,3-5jt,2
321,56,L,3-5jt,1
322,53,P,1-3jt,5
323,54,L,5-10jt,6
324,50,P,1-3jt,6
325,17,P,5-10jt,0
326,22,P,5-10jt,2
327,42,P,1-3jt,2
328,19,P,3-5jt,2
329,33,L,5-10jt,6
330,23,P,3-5jt,4
331,28,L,3-5jt,4
332,55,P,3-5jt,2
333,38,P,5-10jt,0
334,59,L,5-10jt,4
335,50,P,3-5jt,4
336,34,P,1-3jt,3
337,38,P,3-5jt,3
338,17,P,5-10jt,1
339,37,P,1-3jt,2
340,59,L,5-10jt,3
341,58,P,5-10jt,2
342,59,L,5-10jt,2
343,26,L,5-10jt,3
344,27,L,5-10jt,5
345,36,L,1-3jt,2
346,44,L,3-5jt,2
347,59,P,5-10jt,6
348,17,L,5-10jt,1
349,52,L,3-5jt,2
350,54,L,1-3jt,1
351,30,P,3-5jt,0
352,59,P,5-10jt,6
353,40,P,1-3jt,4
354,37,L,3-5jt,5
355,30,L,5-10jt,4
356,26,P,1-3jt,3
357,50,L,1-3jt,4
358,46,L,5-10jt,5
359,41,P,3-5jt,0
360,24,P,3-5jt,3
361,27,L,5-10jt,0
362,43,P,1-3jt,0
363,56,L,3-5jt,0
364,21,P,5-10jt,4
365,26,P,5-10jt,0
366,46,L,5-10jt,5
367,43,P,5-10jt,4
368,46,P,1-3jt,0
369,31,L,5-10jt,4
370,31,P,3-5jt,1
371,28,L,3-5jt,0
372,40,L,3-5jt,5
373,36,L,1-3jt,1
374,42,L,3-5jt,1
375,57,P,1-3jt,6
376,30,L,3-5jt,2
377,59,L,1-3jt,3
378,40,L,3-5jt,6
379,40,P,3-5jt,3
380,22,P,1-3jt,2
381,51,L,3-5jt,3
382,54,L,1-3jt,1
383,30,P,1-3jt,1
384,20,L,5-10jt,4
385,44,L,1-3jt,6
386,44,L,1-3jt,1
387,17,P,3-5jt,4
388,51,L,5-10jt,1
389,36,P,1-3jt,2
390,25,P,3-5jt,6
391,33,P,1-3jt,0
392,19,P,3-5jt,0
393,51,P,3-5jt,1
394,52,P,3-5jt,4
395,18,L,3-5jt,4
396,25,P,1-3jt,0
397,26,L,1-3jt,1
398,58,L,3-5jt,5
399,17,L,1-3jt,5
400,25,L,5-10jt,6
401,42,L,3-5jt,0
402,48,P,1-3jt,1
403,27,L,1-3jt,5
404,58,L,1-3jt,6
405,47,L,1-3jt,1
406,34,P,1-3jt,6
407,35,L,5-10jt,6
408,51,L,1-3jt,0
409,17,P,1-3jt,0
410,42,L,3-5jt,2
411,49,P,5-10jt,1
412,25,L,3-5jt,4
413,35,P,1-3jt,0
414,41,P,3-5jt,1
415,38,L,3-5jt,0
416,35,P,5-10jt,5
417,54,P,1-3jt,5
418,30,L,5-10jt,1
419,56,L,3-5jt,5
420,47,P,3-5jt,6
421,32,P,3-5jt,3
422,24,L,1-3jt,4
423,44,L,5-10jt,6
424,20,P,3-5jt,0
425,35,L,5-10jt,1
426,18,L,3-5jt,0
427,46,P,5-10jt,3
428,21,P,3-5jt,2
429,44,P,1-3jt,4
430,44,P,5-10jt,5
431,41,P,3-5jt,5
432,38,P,5-10jt,0
433,51,L,3-5jt,2
434,46,P,3-5jt,6
435,37,L,1-3jt,0
436,59,L,3-5jt,5
437,38,P,5-10jt,1
438,46,L,3-5jt,0
439,26,P,3-5jt,3
440,40,L,3-5jt,2
441,48,P,3-5jt,1
442,57,P,3-5jt,2
443,59,P,3-5jt,3
444,49,L,3-5jt,0
445,19,P,5-10jt,3
446,47,P,1-3jt,4
447,35,P,1-3jt,4
448,23,L,3-5jt,4
449,44,L,5-10jt,2
450,20,L,5-10jt,3
451,32,L,3-5jt,5
452,28,L,3-5jt,2
453,50,P,1-3jt,1
454,18,P,1-3jt,5
455,35,P,3-5jt,2
456,46,L,5-10jt,5
457,24,P,5-10jt,2
458,17,L,5-10jt,5
459,45,P,3-5jt,1
460,31,P,3-5jt,2
461,28,L,1-3jt,2
462,22,P,5-10jt,2
463,21,P,5-10jt,5
464,31,L,3-5jt,0
465,47,P,1-3jt,0
466,35,P,5-10jt,3
467,31,P,5-10jt,3
468,19,P,5-10jt,2
469,22,P,3-5jt,5
470,25,P,5-10jt,5
471,26,L,1-3jt,2
472,30,P,5-10jt,5
473,32,P,1-3jt,4
474,28,L,3-5jt,5
475,21,P,5-10jt,1
476,60,L,3-5jt,5
477,20,P,3-5jt,4
478,55,L,3-5jt,1
479,42,P,3-5jt,5
480,23,L,1-3jt,5
481,31,L,1-3jt,1
482,31,L,3-5jt,2
483,59,P,5-10jt,1
484,25,P,1-3jt,2
485,44,L,3-5jt,0
486,24,L,1-3jt,5
487,48,L,5-10jt,4
488,18,P,3-5jt,5
489,22,P,5-10jt,4
490,54,P,1-3jt,6
491,24,L,5-10jt,4
492,56,L,5-10jt,3
493,33,P,5-10jt,2
494,26,P,1-3jt,4
495,58,P,1-3jt,2
496,48,P,3-5jt,4
497,33,L,3-5jt,0
498,41,L,5-10jt,3
499,60,L,1-3jt,0
500,25,P,5-10jt,4
501,40,L,5-10jt,4
502,45,L,5-10jt,1
503,46,P,3-5jt,3
504,36,P,1-3jt,3
505,36,L,1-3jt,3
506,57,L,5-10jt,6
507,45,L,5-10jt,6
508,27,L,1-3jt,1
509,18,P,5-10jt,6
510,35,P,3-5jt,0
511,37,L,5-10jt,3
512,23,L,1-3jt,2
513,22,L,3-5jt,6
514,36,L,5-10jt,2
515,59,P,5-10jt,4
516,19,P,3-5jt,3
517,60,L,5-10jt,5
518,42,L,3-5jt,3
519,22,L,1-3jt,1
520,25,L,1-3jt,5
521,36,L,1-3jt,2
522,55,P,3-5jt,1
523,56,L,1-3jt,5
524,36,L,3-5jt,4
525,37,L,5-10jt,1
526,49,L,1-3jt,3
527,36,P,3-5jt,5
528,36,L,1-3jt,3
529,25,P,5-10jt,5
530,57,L,3-5jt,1
531,30,P,3-5jt,5
532,31,L,3-5jt,2
533,59,L,1-3jt,4
534,52,P,1-3jt,4
535,37,P,3-5jt,1
536,20,L,5-10jt,5
537,26,L,3-5jt,1
538,45,L,1-3jt,6
539,56,L,5-10jt,0
540,24,P,3-5jt,0
541,29,P,5-10jt,4
542,41,P,5-10jt,4
543,37,P,5-10jt,1
544,60,P,5-10jt,0
545,48,L,5-10jt,3
546,46,L,1-3jt,0
547,17,P,1-3jt,2
548,21,P,3-5jt,5
549,26,L,1-3jt,0
550,42,P,3-5jt,3
551,56,L,5-10jt,3
552,22,P,3-5jt,6
553,48,L,3-5jt,4
554,44,P,1-3jt,3
555,44,L,5-10jt,4
556,48,L,5-10jt,4
557,21,L,5-10jt,0
558,56,L,3-5jt,6
559,46,P,5-10jt,1
560,31,P,1-3jt,1
561,53,P,1-3jt,5
562,35,P,1-3jt,4
563,40,L,5-10jt,4
564,17,L,5-10jt,3
565,54,L,5-10jt,3
566,30,P,3-5jt,5
567,48,L,5-10jt,0
568,56,L,5-10jt,6
569,54,L,5-10jt,1
570,43,P,5-10jt,5
571,33,P,3-5jt,4
572,52,P,1-3jt,3
573,56,L,1-3jt,5
574,40,P,3-5jt,6
575,56,P,1-3jt,2
576,57,L,5-10jt,4
577,44,L,1-3jt,0
578,20,L,5-10jt,0
579,55,L,5-10jt,4
580,56,P,5-10jt,3
581,18,P,5-10jt,3
582,20,L,1-3jt,1
583,41,P,3-5jt,4
584,43,L,5-10jt,3
585,53,P,5-10jt,1
586,58,L,5-10jt,4
587,36,P,3-5jt,3
588,54,P,1-3jt,0
589,57,L,5-10jt,1
590,50,L,3-5jt,5
591,20,L,3-5jt,6
592,18,P,1-3jt,6
593,49,L,5-10jt,6
594,26,P,5-10jt,6
595,40,L,5-10jt,0
596,21,L,5-10jt,6
597,27,L,1-3jt,3
598,17,P,5-10jt,3
599,23,L,5-10jt,4
600,24,L,3-5jt,4
601,23,L,1-3jt,4
602,38,P,3-5jt,0
603,22,L,1-3jt,5
604,29,P,1-3jt,2
605,43,P,5-10jt,5
606,56,P,1-3jt,6
607,28,L,5-10jt,2
608,34,P,5-10jt,3
609,17,P,1-3jt,3
610,50,L,5-10jt,5
611,24,L,1-3jt,3
612,43,P,5-10jt,4
613,30,L,5-10jt,2
614,32,P,5-10jt,0
615,60,P,5-10jt,1
616,24,L,5-10jt,4
617,27,L,5-10jt,3
618,47,P,5-10jt,2
619,54,L,3-5jt,1
620,45,P,1-3jt,2
621,48,P,5-10jt,4
622,22,L,1-3jt,4
623,36,P,1-3jt,6
624,20,L,3-5jt,2
625,49,L,5-10jt,0
626,49,P,5-10jt,1
627,28,P,5-10jt,0
628,21,L,3-5jt,1
629,23,P,5-10jt,6
630,29,L,5-10jt,5
631,30,L,3-5jt,4
632,35,P,3-5jt,0
633,49,L,3-5jt,4
634,57,L,5-10jt,1
635,58,P,3-5jt,5
636,34,L,5-10jt,1
637,22,P,5-10jt,1
638,35,P,1-3jt,0
639,47,P,5-10jt,1
640,31,P,1-3jt,4
641,18,P,5-10jt,4
642,57,L,5-10jt,3
643,27,P,3-5jt,1
644,17,P,1-3jt,0
645,58,L,3-5jt,1
646,41,P,3-5jt,0
647,24,P,1-3jt,6
648,48,P,3-5jt,0
649,49,L,5-10jt,1
650,31,L,1-3jt,2
651,32,L,5-10jt,4
652,40,P,1-3jt,3
653,35,L,5-10jt,2
654,54,L,3-5jt,4
655,34,P,5-10jt,0
656,32,L,3-5jt,1
657,35,L,5-10jt,3
658,27,L,3-5jt,4
659,38,P,5-10jt,1
660,49,L,1-3jt,5
661,44,P,1-3jt,4
662,36,L,1-3jt,0
663,22,P,1-3jt,4
664,49,L,1-3jt,3
665,23,P,1-3jt,6
666,41,P,3-5jt,2
667,20,L,5-10jt,4
668,21,P,5-10jt,4
669,17,L,1-3jt,1
670,27,P,3-5jt,4
671,36,L,1-3jt,3
672,35,P,1-3jt,4
673,32,L,5-10jt,3
674,34,P,1-3jt,2
675,26,P,3-5jt,0
676,20,P,1-3jt,0
677,54,P,5-10jt,4
678,24,P,3-5jt,6
679,48,P,5-10jt,1
680,18,P,1-3jt,1
681,44,P,1-3jt,5
682,24,L,3-5jt,2
683,17,L,5-10jt,3
684,46,L,1-3jt,1
685,54,P,5-10jt,5
686,43,L,3-5jt,0
687,51,P,1-3jt,4
688,40,P,1-3jt,1
689,24,P,5-10jt,4
690,54,P,5-10jt,6
691,59,P,5-10jt,0
692,43,L,3-5jt,2
693,32,L,3-5jt,5
694,31,P,1-3jt,3
695,55,L,5-10jt,0
696,17,L,3-5jt,3
697,17,P,5-10jt,4
698,59,P,1-3jt,4
699,50,L,1-3jt,3
700,27,L,3-5jt,3
701,45,L,3-5jt,3
702,57,L,5-10jt,2
703,43,L,3-5jt,4
704,32,P,1-3jt,5
705,39,L,5-10jt,0
706,38,P,1-3jt,2
707,57,P,1-3jt,2
708,25,P,5-10jt,3
709,36,L,3-5jt,5
710,39,P,5-10jt,1
711,25,L,3-5jt,6
712,24,L,3-5jt,0
713,39,L,3-5jt,1
714,55,P,5-10jt,4
715,35,P,1-3jt,2
716,49,L,3-5jt,0
717,59,P,3-5jt,0
718,39,P,3-5jt,4
719,60,P,3-5jt,3
720,23,L,5-10jt,6
721,20,L,3-5jt,3
722,38,P,1-3jt,0
723,38,L,1-3jt,6
724,51,L,1-3jt,5
725,50,L,5-10jt,0
726,46,P,1-3jt,2
727,29,P,5-10jt,6
728,30,P,3-5jt,3
729,19,L,5-10jt,1
730,18,P,5-10jt,1
731,29,P,3-5jt,2
732,28,P,1-3jt,3
733,59,L,1-3jt,1
734,41,L,3-5jt,6
735,23,P,5-10jt,3
736,26,P,5-10jt,1
737,41,L,5-10jt,2
738,20,P,3-5jt,0
739,52,L,1-3jt,1
740,28,P,3-5jt,0
741,47,L,1-3jt,3
742,55,P,3-5jt,6
743,34,L,1-3jt,6
744,29,P,1-3jt,6
745,36,P,5-10jt,1
746,38,L,1-3jt,6
747,50,P,1-3jt,0
748,48,P,1-3jt,1
749,26,P,3-5jt,3
750,32,P,3-5jt,4
751,31,P,3-5jt,0
752,37,L,1-3jt,5
753,50,P,1-3jt,3
754,20,P,3-5jt,4
755,51,P,3-5jt,6
756,29,L,1-3jt,1
757,41,L,3-5jt,5
758,28,L,1-3jt,4
759,43,L,1-3jt,2
760,20,L,1-3jt,3
761,42,L,1-3jt,5
762,42,L,3-5jt,0
763,40,L,3-5jt,5
764,23,L,1-3jt,3
765,51,P,5-10jt,1
766,45,P,3-5jt,0
767,47,P,5-10jt,1
768,36,L,5-10jt,4
769,42,L,3-5jt,4
770,21,L,5-10jt,2
771,25,P,5-10jt,6
772,57,P,3-5jt,2
773,28,P,3-5jt,6
774,57,L,5-10jt,6
775,19,P,3-5jt,0
776,22,P,3-5jt,0
777,22,L,3-5jt,3
778,38,P,5-10jt,3
779,39,L,5-10jt,1
780,48,L,1-3jt,3
781,32,L,3-5jt,4
782,43,L,5-10jt,0
783,49,L,1-3jt,5
784,51,L,5-10jt,6
785,50,P,3-5jt,5
786,55,L,5-10jt,5
787,28,L,5-10jt,5
788,18,P,3-5jt,2
789,57,P,3-5jt,2
790,43,P,5-10jt,1
791,60,L,3-5jt,6
792,49,P,1-3jt,2
793,56,L,3-5jt,3
794,34,P,3-5jt,1
795,37,P,1-3jt,4
796,29,P,3-5jt,2
797,21,L,3-5jt,3
798,46,L,1-3jt,5
799,46,L,5-10jt,3
800,28,L,3-5jt,5
801,50,L,1-3jt,0
802,27,P,1-3jt,2
803,38,L,5-10jt,4
804,53,P,1-3jt,5
805,58,L,3-5jt,0
806,35,P,5-10jt,3
807,34,P,3-5jt,0
808,49,L,5-10jt,0
809,33,P,1-3jt,3
810,38,P,1-3jt,3
811,46,P,3-5jt,1
812,31,L,3-5jt,0
813,42,P,3-5jt,0
814,50,P,1-3jt,5
815,25,L,3-5jt,5
816,40,L,3-5jt,6
817,22,P,5-10jt,0
818,39,P,1-3jt,0
819,28,P,1-3jt,4
820,37,L,1-3jt,5
821,25,P,1-3jt,1
822,26,P,1-3jt,3
823,32,P,1-3jt,4
824,21,L,5-10jt,3
825,40,P,5-10jt,2
826,60,L,1-3jt,2
827,33,L,5-10jt,4
828,52,L,5-10jt,0
829,34,P,5-10jt,4
830,52,L,5-10jt,3
831,37,P,5-10jt,2
832,55,L,5-10jt,6
833,55,P,3-5jt,5
834,41,L,1-3jt,2
835,40,L,1-3jt,4
836,57,L,5-10jt,4
837,51,P,1-3jt,6
838,40,P,5-10jt,4
839,25,L,3-5jt,4
840,30,P,1-3jt,0
841,33,L,5-10jt,5
842,28,P,1-3jt,5
843,54,P,1-3jt,1
844,44,P,5-10jt,5
845,27,L,5-10jt,0
846,20,L,1-3jt,5
847,50,L,5-10jt,2
848,38,L,1-3jt,1
849,57,L,5-10jt,6
850,56,P,1-3jt,6
851,39,L,5-10jt,5
852,58,L,1-3jt,0
853,54,L,1-3jt,5
854,56,L,3-5jt,0
855,53,L,3-5jt,6
856,22,L,3-5jt,2
857,20,L,3-5jt,2
858,33,L,3-5jt,5
859,32,P,1-3jt,0
860,40,L,5-10jt,0
861,22,L,5-10jt,4
862,42,L,3-5jt,6
863,60,P,1-3jt,3
864,55,P,3-5jt,4
865,40,L,1-3jt,5
866,24,L,3-5jt,1
867,25,L,3-5jt,5
868,60,L,5-10jt,2
869,50,L,1-3jt,6
870,49,P,5-10jt,0
871,24,P,3-5jt,5
872,31,P,5-10jt,5
873,52,L,5-10jt,2
874,55,L,1-3jt,4
875,43,L,5-10jt,6
876,24,P,3-5jt,6
877,45,L,1-3jt,6
878,39,L,3-5jt,5
879,45,P,1-3jt,6
880,60,L,1-3jt,0
881,33,L,5-10jt,1
882,35,P,5-10jt,1
883,58,L,3-5jt,3
884,17,P,5-10jt,1
885,38,L,3-5jt,0
886,55,L,5-10jt,2
887,31,L,3-5jt,1
888,47,L,1-3jt,3
889,59,L,5-10jt,2
890,22,P,3-5jt,2
891,35,P,5-10jt,0
892,29,L,5-10jt,3
893,35,L,1-3jt,5
894,54,L,5-10jt,1
895,34,P,5-10jt,1
896,26,L,3-5jt,0
897,24,P,1-3jt,2
898,46,L,1-3jt,5
899,54,L,1-3jt,2
900,56,L,3-5jt,0
901,30,L,5-10jt,6
902,54,L,3-5jt,0
903,40,P,5-10jt,2
904,34,L,3-5jt,2
905,58,P,3-5jt,0
906,25,P,5-10jt,3
907,59,L,3-5jt,6
908,57,P,3-5jt,0
909,57,P,1-3jt,0
910,21,P,1-3jt,3
911,23,P,1-3jt,6
912,42,P,5-10jt,6
913,36,L,3-5jt,2
914,46,P,3-5jt,5
915,34,P,5-10jt,3
916,32,L,3-5jt,1
917,17,L,5-10jt,1
918,57,P,3-5jt,0
919,34,L,1-3jt,3
920,46,L,1-3jt,2
921,24,P,3-5jt,5
922,20,P,3-5jt,5
923,55,P,3-5jt,2
924,54,L,5-10jt,3
925,19,P,3-5jt,3
926,18,L,1-3jt,1
927,42,L,3-5jt,0
928,32,P,1-3jt,2
929,25,L,5-10jt,3
930,40,P,5-10jt,1
931,29,L,5-10jt,2
932,24,L,1-3jt,4
933,21,L,3-5jt,0
934,42,P,1-3jt,5
935,36,L,5-10jt,5
936,23,L,3-5jt,3
937,38,L,5-10jt,1
938,59,P,5-10jt,2
939,36,L,1-3jt,2
940,45,P,3-5jt,2
941,36,P,3-5jt,2
942,19,P,3-5jt,2
943,22,L,1-3jt,0
944,21,P,5-10jt,6
945,59,L,1-3jt,2
946,39,P,1-3jt,3
947,52,L,5-10jt,0
948,51,P,3-5jt,0
949,60,P,5-10jt,5
950,45,P,1-3jt,3
951,37,L,5-10jt,0
952,43,P,3-5jt,3
953,45,L,3-5jt,2
954,53,P,1-3jt,5
955,32,P,3-5jt,3
956,51,L,3-5jt,2
957,39,L,3-5jt,0
958,28,P,3-5jt,0
959,39,L,1-3jt,3
960,31,L,3-5jt,6
961,33,L,3-5jt,5
962,36,P,1-3jt,5
963,39,P,5-10jt,1
964,24,P,3-5jt,5
965,33,L,3-5jt,0
966,18,L,5-10jt,1
967,27,L,1-3jt,2
968,17,L,3-5jt,1
969,33,P,5-10jt,5
970,51,L,3-5jt,6
971,47,P,1-3jt,2
972,51,P,3-5jt,3
973,23,P,5-10jt,6
974,44,L,5-10jt,2
975,35,L,3-5jt,4
976,37,P,1-3jt,3
977,29,P,3-5jt,0
978,33,P,1-3jt,1
979,23,L,1-3jt,6
980,22,L,3-5jt,5
981,57,P,1-3jt,0
982,46,L,3-5jt,4
983,17,L,1-3jt,4
984,37,L,5-10jt,0
985,21,L,3-5jt,2
986,28,L,1-3jt,2
987,25,P,3-5jt,3
988,29,P,5-10jt,0
989,56,P,5-10jt,6
990,19,L,5-10jt,1
991,30,L,5-10jt,3
992,33,L,3-5jt,4
993,27,P,1-3jt,3
994,20,L,1-3jt,0
995,54,L,3-5jt,6
